52.01,45.65,13.88,342
52.35,46.19,14.17,352
52.52,46.22,14.43,320
52.26,46.31,15.42,358
52.62,47.30,16.16,397
53.03,47.94,15.60,402
52.52,48.55,16.16,400
51.92,48.34,17.32,461
52.41,47.90,17.54,416
53.10,49.21,17.67,424
52.85,49.28,16.32,408
52.30,49.38,16.14,463
51.21,49.50,17.59,481
51.28,49.07,17.52,458
52.03,49.76,17.49,456
51.83,49.80,16.07,455
50.87,49.50,15.47,445
49.64,48.66,16.67,544
49.65,48.43,17.34,511
50.23,49.33,17.32,546
50.14,49.36,15.77,533
49.38,48.70,15.04,611
48.35,47.89,15.33,700
47.80,47.25,16.38,625
48.09,48.01,17.30,612
48.62,47.49,14.85,530
47.62,47.20,14.41,479
45.98,46.61,14.27,476
45.10,46.20,15.37,495
45.04,46.53,16.06,487
45.77,46.75,14.85,459
45.06,46.47,13.77,493
43.57,46.18,13.82,465
42.82,45.21,14.50,514
42.50,46.04,15.78,492
43.30,46.26,14.36,444
43.06,46.45,13.93,447
41.86,45.70,12.89,451
40.92,45.99,14.37,487
40.55,46.32,15.26,454
41.22,46.22,15.47,501
41.83,45.85,13.92,437
40.88,45.19,13.11,412
40.32,44.85,13.72,453
39.23,43.76,15.22,437
39.93,43.06,14.87,503
40.53,42.98,13.80,524
39.45,42.76,13.09,487
38.28,42.74,13.27,452
37.43,42.96,14.37,387
37.69,43.01,14.77,377
38.42,43.24,14.06,389
37.85,43.43,12.93,368
36.46,43.06,12.77,345
35.71,42.14,13.00,367
34.77,42.86,14.21,317
34.24,42.74,14.29,335
34.93,42.33,12.11,300
33.65,42.49,11.67,250
32.02,41.68,10.22,233
30.23,40.84,10.98,225
28.40,39.63,11.20,192
26.84,38.73,11.57,227
25.14,37.66,11.41,209
23.45,36.38,10.82,194
21.42,35.05,9.62,169
19.22,32.84,8.11,160
16.00,30.19,7.82,144
11.33,27.52,9.39,134
7.93,26.14,10.01,131
5.68,24.52,9.96,118
2.77,22.52,10.80,104
0.15,20.99,11.07,96
-2.07,19.34,11.26,90
-5.19,16.78,11.64,96
-8.64,15.66,13.29,81
-12.16,15.34,14.57,71
-16.05,13.08,14.71,66
-19.38,10.09,14.07,64
-22.32,6.44,13.74,61
-25.60,2.95,14.78,63
-28.81,0.95,17.37,84
-32.25,-0.74,18.37,75
-36.42,-1.83,22.33,71
-40.76,0.18,25.45,77
-44.63,3.19,27.52,70
-45.51,4.15,26.56,58
-45.59,3.73,24.74,55
-45.91,3.63,23.76,42
-47.90,4.44,25.01,36
-50.68,5.92,27.04,36
-52.27,6.98,28.06,37
-52.91,6.86,27.46,41
-53.35,6.57,27.16,39
-53.86,6.56,27.10,33
-54.98,6.75,27.49,33
-56.29,7.24,28.02,30
-57.17,7.84,28.21,27
-57.58,8.34,28.07,22
-57.61,9.03,27.92,19
-57.26,9.66,27.76,27
-56.90,9.90,27.44,24
-56.74,9.93,27.30,25
-56.51,9.92,27.09,19
-56.09,9.78,26.73,31
-55.93,9.64,26.65,30
-55.81,10.00,26.68,27
-55.66,10.37,26.65,22
-55.49,10.50,26.41,33
-55.62,10.16,26.11,30
